仮|1039|sham, temporary, interim, assumed (name), informal|1039|カ、ケ|かり、かり-|6|人: person<br>反: anti-|provisional|1039
仰|1570|face-up, look up, depend, seek, respect, rever, drink, take|1573|ギョウ、コウ|あお.ぐ、おお.せ、お.っしゃる、おっしゃ.る|6|人: person<br>卬: lofty; high; raise; high-priced|faceup|1836
仲|919|go-between, relationship|919|チュウ|なか|6|人: person<br>中: in; inside; middle; mean; center|go-between|1029
件|212|affair, case, matter, item|212|ケン|くだん|6|人: person<br>牛: cow|affair|1032
任|217|responsibility, duty, term, entrust to, appoint|217|ニン|まか.せる、まか.す|6|人: person<br>壬: 9th calendar sign|responsibility|1078
企|278|undertake, scheme, design, attempt, plan|278|キ|くわだ.てる、たくら.む|6|人: person<br>止: stop; halt|undertake|401
伊|703|Italy, that one|703|イ|かれ|6|人: person<br>尹: an official rank|Italy|1245
伍|1874|five, five-man squad, file, line|1881|ゴ|いつつ|6|人: person<br>五: five|V|2972
伎|2415|deed, skill|9999|ギ、キ|わざ、わざおぎ|6|人: person<br>支: branch; support; sustain; branch radical (no. 65)|performing artist|1040
伏|1600|prostrated, bend down, bow, cover, lay (pipes)|1604|フク|ふ.せる、ふ.す|6|人: person<br>犬: dog|prostrated|1035
伐|1810|fell, strike, attack, punish|1816|バツ、ハツ、カ、ボチ|き.る、そむ.く、う.つ|6|人: person<br>戈: halberd; arms; festival car; float; tasselled spear radical (no. 62)|fell|1069
休|642|rest, day off, retire, sleep|642|キュウ|やす.む、やす.まる、やす.める|6|人: person<br>木: tree; wood|rest|1038
会|4|meeting, meet, party, association, interview, join|4|カイ、エ|あ.う、あ.わせる、あつ.まる|6|人: person<br>云: say|meeting|814
伝|416|transmit, go along, walk along, follow, report, communicate, legend, tradition|416|デン、テン|つた.わる、つた.える、つた.う、つだ.う、-づた.い、つて|6|人: person<br>云: say|transmit|1036
伯|1737|chief, count, earl, uncle, Brazil|1741|ハク||7|人: person<br>白: white|chief|1041
伴|886|consort, accompany, bring with, companion|886|ハン、バン|ともな.う|7|人: person<br>半: half; middle; odd number; semi-; part-|consort|1287
伶|2416|actor|9999|レイ、リョウ|わざおぎ|7|人: person<br>令: orders; ancient laws; command; decree|minstrel|9999
伸|730|expand, stretch, extend, lengthen, increase|730|シン|の.びる、の.ばす、の.べる、の.す|7|人: person<br>申: have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac|expand|1199
伺|2180|pay respects, visit, ask, inquire, question, implore|2209|シ|うかが.う|7|人: person<br>司: director; official; govt office; rule; administer|pay respects|2008
似|923|becoming, resemble, counterfeit, imitate, suitable|923|ジ|に.る、ひ.る|7|人: person<br>以: by means of; because; in view of; compared with|similar|1106
伽|2270|nursing, attending, entertainer|2323|カ、ガ、キャ、ギャ|とぎ|7|人: person<br>加: add; addition; increase; join; include; Canada|look after|2251
佃|2164|cultivated rice field|2193|テン、デン|つくだ|7|人: person<br>田: rice field; rice paddy|work a field|2248
但|2332|however, but|2404|タン|ただ.し|7|人: person<br>旦: daybreak; dawn; morning|however|1026
位|276|rank, grade, throne, crown, about, some|276|イ|くらい、ぐらい|7|人: person<br>立: stand up; rise; set up; erect|rank|1028
低|435|lower, short, humble|435|テイ|ひく.い、ひく.める、ひく.まる|7|人: person<br>氏: family name; surname; clan<br>一: one; one radical (no.1)|lower|1973
住|270|dwell, reside, live, inhabit|270|ジュウ、ヂュウ、チュウ|す.む、す.まう、-ず.まい|7|人: person<br>主: lord; chief; master; main thing; principal|dwell|1027
佐|474|assistant, help|474|サ||7|人: person<br>左: left|assistant|1024
体|88|body, substance, object, reality, counter for images|88|タイ、テイ|からだ、かたち|7|人: person<br>本: book; present; main; origin; true; real; counter for long cylindrical things|body|1030
何|340|what|340|カ|なに、なん、なに-、なん-|7|人: person<br>可: can; passable; mustn't; should not; do not|what|1087
余|680|too much, myself, surplus, other, remainder|680|ヨ|あま.る、あま.り、あま.す、あんま.り|7|人: person<br>小: little; small|too much|1786
作|103|make, production, prepare, build|103|サク、サ|つく.る、つく.り、-づく.り|7|人: person<br>乍: though; notwithstanding; while; during; both; all|make|1224
佳|1639|excellent, beautiful, good, pleasing, skilled|1643|カ||8|人: person<br>圭: square jewel; corner; angle; edge|excellent|1044
併|966|join, get together, unite, collective|966|ヘイ|あわ.せる|8|人: person<br>并: put together|join|1107
使|219|use, send on a mission, order, messenger, envoy, ambassador, cause|219|シ|つか.う、つか.い、-つか.い、-づか.い|8|人: person<br>吏: officer; an official|use|1065
侃|2417|strong, just, righteous, peace-loving|9999|カン|つよ.い|8|人: person<br>口: mouth<br>巛: curving river radical (no.47)|integrity|2255
例|399|example, custom, usage, precedent|399|レイ|たと.える|8|人: person<br>列: file; row; rank; tier; column|example|1046
侍|1927|waiter, samurai, wait upon, serve|1939|ジ、シ|さむらい、はべ.る|8|人: person<br>寺: Buddhist temple|waiter|1050
供|313|submit, offer, present, serve (meal), accompany|313|キョウ、ク、クウ、グ|そな.える、とも、-ども|8|人: person<br>共: together; both; neither; all; and; alike; with|submit|1935
依|906|reliant, depend on, consequently, therefore, due to|906|イ、エ|よ.る|8|人: person<br>衣: garment; clothes; dressing|reliant|1045
侠|2318|tomboy, chivalry|2385|キョウ|きゃん、おとこだて|8|人: person<br>夾: insert between|chivalry|2245
価|250|value, price|250|カ、ケ|あたい|8|人: person<br>襾: cover; place on top of; west radical variant (no. 146)|value|1729
侭|2418|as it is, because|9999|ジン|まま、ことごとく|8|人: person<br />尽: exhaust; use up; run out of; deplete; befriend; serve|as is|2257
侮|1986|scorn, despise, make light of, contempt|2004|ブ|あなど.る、あなず.る|8|人: person<br>毎: every|scorn|1064
侯|2303|marquis, lord, daimyo|2363|コウ||9|人: person<br>矢: dart; arrow|marquis|1767
